COUNTY,tag,value,cost,event,median,postbirth,prebirth,prescript,total,claim,recipi,measure
ADAMS,Prescription Related Claims,10.26,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Median Postbirth Cost
ADAMS,Prescription Related Claims,10.99,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Median Prebirth Cost
ADAMS,Prescription Related Claims,317060.55,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Postbirth Prescription Event Cost
ADAMS,Prescription Related Claims,219493.51,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Prebirth Prescription Event Cost
ADAMS,Prescription Related Claims,536554.06,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Total Prescription Cost
ADAMS,Prescription Related Claims,7446,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Total Prescriptions
ADAMS,Prescription Related Claims,3365,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Total Prescription Postbirth Events
ADAMS,Prescription Related Claims,4081,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Total Prescription Prebirth Events
ALLEN,Prescription Related Claims,10.26,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Median Postbirth Cost
ALLEN,Prescription Related Claims,10.26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Median Prebirth Cost
ALLEN,Prescription Related Claims,6167956.98,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Postbirth Prescription Event Cost
ALLEN,Prescription Related Claims,4933216.31,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Prebirth Prescription Event Cost
ALLEN,Prescription Related Claims,11101173.29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Total Prescription Cost
ALLEN,Prescription Related Claims,161258,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Total Prescriptions
ALLEN,Prescription Related Claims,74742,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Total Prescription Postbirth Events
ALLEN,Prescription Related Claims,86516,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Total Prescription Prebirth Events
BARTHOLOMEW,Prescription Related Claims,11.27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Median Postbirth Cost
BARTHOLOMEW,Prescription Related Claims,9.77,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Median Prebirth Cost
BARTHOLOMEW,Prescription Related Claims,1255310.73,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Postbirth Prescription Event Cost
BARTHOLOMEW,Prescription Related Claims,584125.31,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Prebirth Prescription Event Cost
